"author","quote"
"مارک تواین","راز پیشرفت این است که شروع کنیم."
"اسکار وایلد","خودت باش؛ دیگران قبلا گرفته شده‌اند."
"ماری کوری","در زندگی چیزی برای ترسیدن وجود ندارد."
"ویکتور هوگو","موسیقی ابراز می‌کند آنچه نمی‌توان گفت."
"بلز پاسکال","قلب دلایلی دارد که عقل آن را نمی‌فهمد."
"ژان-پل سارتر","ما انتخاب‌های خود هستیم."
"آنتوان دو سنت-اگزوپری","اصلی‌ترین چیزها برای چشم‌ها نامرئی هستند."
"امیل زولا","هیچ چیز سیاه نیست، هیچ چیز سفید نیست، همه چیز رنگ است."
"شارل بودلر","هنر طولانی است و زمان کوتاه است."
"پل والری","بزرگترین خطر این است که سوال بپرسیم و منتظر پاسخ نمانیم."
"ژان کوکتو","شاعر واقعی کسی است که بیشتر از اینکه به او الهام شود، الهام می‌بخشد."
"آندره ژید","بهتر است برای آنچه هستید مورد تنفر باشید تا برای آنچه نیستید دوست داشته شوید."
"فرانسوا رابله","علم بدون وجدان فقط ویرانی روح است."
"نیکلا دو شامفور","بیشترین روزهای از دست رفته آن روز است که نخندیدیم."
"مایکل کرایتون","علم، جادو نیست، فهم است."
"استیون هاوکینگ","عقل، بهترین ابزار ماست."
"آلبرت انیشتین","خلاقیت، از دانش مهم تر است."
"آبراهام لینکلن","بهترین راه پیش بینی آینده، ساختن آن است."
"آیریس مرداک","هنر، کشف جهان است."
"استیو جابز","دیوانگی، دنبال کردن رویاهایت است."
"ون گوگ","بهترین راه برای شاد بودن، این است که برای چیزی بزرگتر از خودتان زندگی کنید."
"مایا آنجلو","موفقیت، دوست داشتن خود، کاری که انجام می دهید و چگونگی انجام آن است."
"مارلون براندو","زندگی، بازیگری نیست، باید آن را زندگی کرد."
"جورج برنارد شاو","زندگی، ماجراجویی است نه جستجو."
"نلسون ماندلا","آموزش، قدرتمندترین سلاحی است که می توانید از آن برای تغییر جهان استفاده کنید."
"فریدریش نیچه","آنچه مرا نکشد، قوی ترم می کند."
"اپرا وینفری","زمان با ارزش‌ترین دارایی شماست."
"ریچارد فاینمن","علم، داستان هایی است که درباره طبیعت تعریف می کنیم."
"استیون کینگ","اگر می خواهید نویسنده شوید، باید بخوانید."
"ایلیا ابوماضی","هنر، فریاد روح است."
"لئوناردو داوینچی","سادگی، نهایت کمال است."
"جورج اورول","در زمانه فریب، گفتن حقیقت یک عمل انقلابی است."
"مارگارت اتوود","آینده، چیزی نیست که برای شما اتفاق بیفتد، بلکه چیزی است که خودتان خلق می کنید."
